Date,Country,Total confirmed* cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification†,Days since last reported case**
03-03-2020,China,80304,130,2946,31,Local transmission,0
03-03-2020,Republic of Korea,4812,600,28,6,Local transmission,0
03-03-2020,Japan,268,14,6,0,Local transmission,0
03-03-2020,Singapore,108,2,0,0,Local transmission,0
03-03-2020,Australia,33,6,1,0,Local transmission,0
03-03-2020,Malaysia,29,5,0,0,Local transmission,0
03-03-2020,Viet Nam,16,0,0,0,Local transmission,19
03-03-2020,Philippines,3,0,1,0,Imported cases only,28
03-03-2020,New Zealand,2,1,0,0,Imported cases only,0
03-03-2020,Cambodia,1,0,0,0,Imported cases only,36
03-03-2020,Italy,2036,347,52,17,Local transmission,0
03-03-2020,France,191,91,3,1,Local transmission,0
03-03-2020,Germany,157,28,0,0,Local transmission,0
03-03-2020,Spain,114,69,0,0,Local transmission,0
03-03-2020,United Kingdom,39,3,0,0,Local transmission,0
03-03-2020,Switzerland,30,6,0,0,Local transmission,0
03-03-2020,Norway,25,6,0,0,Local transmission,0
03-03-2020,Austria,18,8,0,0,Imported cases only,0
03-03-2020,Netherlands,18,5,0,0,Local transmission,0
03-03-2020,Sweden,15,1,0,0,Local transmission,0
03-03-2020,Israel,10,3,0,0,Local transmission,0
03-03-2020,Croatia,8,2,0,0,Local transmission,0
03-03-2020,Iceland,9,7,0,0,Imported cases only,0
03-03-2020,San Marino,8,7,0,0,Local transmission,0
03-03-2020,Belgium,8,7,0,0,Imported cases only,0
03-03-2020,Finland,7,1,0,0,Local transmission,0
03-03-2020,Greece,7,0,0,0,Local transmission,1
03-03-2020,Denmark,5,1,0,0,Local transmission,0
03-03-2020,Azerbaijan,3,0,0,0,Imported cases only,2
03-03-2020,Czechia,3,0,0,0,Imported cases only,1
03-03-2020,Georgia,3,0,0,0,Imported cases only,2
03-03-2020,Romania,3,0,0,0,Imported cases only,3
03-03-2020,Russian Federation,3,1,0,0,Imported cases only,0
03-03-2020,Portugal,2,2,0,0,Imported cases only,0
03-03-2020,Andorra,1,1,0,0,Imported cases only,0
03-03-2020,Armenia,1,0,0,0,Imported cases only,1
03-03-2020,Belarus,1,0,0,0,Imported cases only,4
03-03-2020,Estonia,1,0,0,0,Imported cases only,5
03-03-2020,Ireland,1,0,0,0,Imported cases only,2
03-03-2020,Latvia,1,1,0,0,Imported cases only,0
03-03-2020,Lithuania,1,0,0,0,Imported cases only,4
03-03-2020,Luxembourg,1,0,0,0,Imported cases only,1
03-03-2020,Monaco,1,0,0,0,Under investigation,2
03-03-2020,North Macedonia,1,0,0,0,Imported cases only,6
03-03-2020,Thailand,43,1,1,0,Local transmission,0
03-03-2020,India,5,2,0,0,Imported cases only,0
03-03-2020,Indonesia,2,0,0,0,Local transmission,0
03-03-2020,Nepal,1,0,0,0,Imported cases only,39
03-03-2020,Sri Lanka,1,0,0,0,Imported cases only,36
03-03-2020,Iran (Islamic Republic of),1501,523,66,12,Local transmission,0
03-03-2020,Kuwait,56,0,0,0,Imported cases only,1
03-03-2020,Bahrain,49,2,0,0,Imported cases only,0
03-03-2020,Iraq,26,7,0,0,Imported cases only,0
03-03-2020,United Arab Emirates,21,0,0,0,Local transmission,1
03-03-2020,Lebanon,13,3,0,0,Local transmission,0
03-03-2020,Qatar,7,4,0,0,Imported cases only,0
03-03-2020,Oman,6,0,0,0,Imported cases only,4
03-03-2020,Pakistan,5,1,0,0,Imported cases only,0
03-03-2020,Egypt,2,0,0,0,Imported cases only,0
03-03-2020,Afghanistan,1,0,0,0,Imported cases only,8
03-03-2020,Jordan,1,1,0,0,Imported cases only,0
03-03-2020,Morocco,1,1,0,0,Imported cases only,0
03-03-2020,Saudi Arabia,1,1,0,0,Imported cases only,0
03-03-2020,Tunisia,1,1,0,0,Imported cases only,0
03-03-2020,United States,64,2,2,2,Local transmission,0
03-03-2020,Canada,27,8,0,0,Local transmission,0
03-03-2020,Ecuador,6,5,0,0,Local transmission,0
03-03-2020,Mexico,5,0,0,0,Imported cases only,1
03-03-2020,Brazil,2,0,0,0,Imported cases only,2
03-03-2020,Dominican Republic,1,0,0,0,Imported cases only,1
03-03-2020,Algeria,5,4,0,0,Local transmission,0
03-03-2020,Nigeria,1,0,0,0,Imported cases only,4
03-03-2020,Senegal,1,1,0,0,Imported cases only,0
03-03-2020,International conveyance (Diamond Princess),706,0,6,0,Local transmission,1
03-04-2020,China,80422,120,2984,38,Local transmission,0
03-04-2020,Republic of Korea,5328,516,32,4,Local transmission,0
03-04-2020,Japan,284,16,6,0,Local transmission,0
03-04-2020,Singapore,110,2,0,0,Local transmission,0
03-04-2020,Malaysia,50,21,0,0,Local transmission,0
03-04-2020,Australia,43,10,1,0,Local transmission,0
03-04-2020,Viet Nam,16,0,0,0,Local transmission,20
03-04-2020,Philippines,3,0,1,0,Imported cases only,28
03-04-2020,New Zealand,2,0,0,0,Imported cases only,1
03-04-2020,Cambodia,1,0,0,0,Imported cases only,36
03-04-2020,Italy,2502,466,80,28,Local transmission,0
03-04-2020,France,212,21,4,1,Local transmission,0
03-04-2020,Germany,196,39,0,0,Local transmission,0
03-04-2020,Spain,151,37,0,0,Local transmission,0
03-04-2020,United Kingdom,51,12,0,0,Local transmission,0
03-04-2020,Switzerland,37,7,0,0,Local transmission,0
03-04-2020,Norway,32,7,0,0,Local transmission,0
03-04-2020,Netherlands,28,10,0,0,Local transmission,0
03-04-2020,Austria,24,6,0,0,Imported cases only,0
03-04-2020,Sweden,24,9,0,0,Local transmission,0
03-04-2020,Iceland,16,7,0,0,Imported cases only,0
03-04-2020,Israel,12,2,0,0,Local transmission,0
03-04-2020,Croatia,9,1,0,0,Local transmission,0
03-04-2020,Belgium,8,0,0,0,Imported cases only,1
03-04-2020,Denmark,8,3,0,0,Local transmission,0
03-04-2020,San Marino,8,0,0,0,Local transmission,1
03-04-2020,Finland,7,0,0,0,Local transmission,1
03-04-2020,Greece,7,0,0,0,Local transmission,2
03-04-2020,Czechia,5,2,0,0,Imported cases only,1
03-04-2020,Romania,4,1,0,0,Local transmission,0
03-04-2020,Azerbaijan,3,0,0,0,Imported cases only,3
03-04-2020,Georgia,3,0,0,0,Imported cases only,3
03-04-2020,Russian Federation,3,0,0,0,Imported cases only,1
03-04-2020,Estonia,2,1,0,0,Imported cases only,0
03-04-2020,Ireland,2,1,0,0,Imported cases only,0
03-04-2020,Portugal,2,0,0,0,Imported cases only,1
03-04-2020,Andorra,1,0,0,0,Imported cases only,1
03-04-2020,Armenia,1,0,0,0,Imported cases only,2
03-04-2020,Belarus,1,0,0,0,Imported cases only,5
03-04-2020,Latvia,1,0,0,0,Imported cases only,1
03-04-2020,Lithuania,1,0,0,0,Imported cases only,5
03-04-2020,Luxembourg,1,0,0,0,Imported cases only,2
03-04-2020,Monaco,1,0,0,0,Under investigation,3
03-04-2020,North Macedonia,1,0,0,0,Imported cases only,6
03-04-2020,Poland,1,1,0,0,Imported cases only,0
03-04-2020,Ukraine,1,1,0,0,Imported cases only,0
03-04-2020,Thailand,43,0,1,0,Local transmission,1
03-04-2020,India,6,1,0,0,Imported cases only,0
03-04-2020,Indonesia,2,0,0,0,Local transmission,2
03-04-2020,Nepal,1,0,0,0,Imported cases only,40
03-04-2020,Sri Lanka,1,0,0,0,Imported cases only,37
03-04-2020,Iran (Islamic Republic of),2336,835,77,11,Local transmission,0
03-04-2020,Kuwait,56,0,0,0,Imported cases only,2
03-04-2020,Bahrain,49,0,0,0,Imported cases only,1
03-04-2020,Iraq,31,5,0,0,Imported cases only,0
03-04-2020,United Arab Emirates,27,6,0,0,Local transmission,0
03-04-2020,Lebanon,13,0,0,0,Local transmission,1
03-04-2020,Oman,12,6,0,0,Imported cases only,0
03-04-2020,Qatar,8,1,0,0,Imported cases only,0
03-04-2020,Pakistan,5,0,0,0,Imported cases only,1
03-04-2020,Egypt,2,0,0,0,Imported cases only,2
03-04-2020,Afghanistan,1,0,0,0,Imported cases only,8
03-04-2020,Jordan,1,0,0,0,Imported cases only,1
03-04-2020,Morocco,1,0,0,0,Imported cases only,1
03-04-2020,Saudi Arabia,1,0,0,0,Imported cases only,1
03-04-2020,Tunisia,1,0,0,0,Imported cases only,1
03-04-2020,United States,108,44,6,4,Local transmission,0
03-04-2020,Canada,30,3,0,0,Local transmission,0
03-04-2020,Ecuador,7,1,0,0,Local transmission,0
03-04-2020,Mexico,5,0,0,0,Imported cases only,2
03-04-2020,Brazil,2,0,0,0,Imported cases only,3
03-04-2020,Argentina,1,1,0,0,Imported cases only,0
03-04-2020,Chile,1,1,0,0,Imported cases only,0
03-04-2020,Dominican Republic,1,0,0,0,Imported cases only,2
03-04-2020,Algeria,5,0,0,0,Local transmission,1
03-04-2020,Nigeria,1,0,0,0,Imported cases only,5
03-04-2020,Senegal,1,0,0,0,Imported cases only,1
03-04-2020,International conveyance (Diamond Princess),706,0,6,0,Local transmission,2
03-01-2020,China,79968,579,2873,35,Local transmission,0
03-01-2020,Republic of Korea,3736,586,18,1,Local transmission,0
03-01-2020,Japan,239,9,5,0,Local transmission,0
03-01-2020,Singapore,102,4,0,0,Local transmission,0
03-01-2020,Australia,25,1,0,0,Local transmission,0
03-01-2020,Malaysia,24,0,0,0,Local transmission,2
03-01-2020,Viet Nam,16,0,0,0,Local transmission,17
03-01-2020,Philippines,3,0,1,0,Imported cases only,26
03-01-2020,Cambodia,1,0,0,0,Imported cases only,34
03-01-2020,New Zealand,1,0,0,0,Imported cases only,2
03-01-2020,Italy,1128,240,29,8,Local transmission,0
03-01-2020,France,100,43,2,0,Local transmission,0
03-01-2020,Germany,57,0,0,0,Local transmission,1
03-01-2020,Spain,45,13,0,0,Local transmission,0
03-01-2020,The United Kingdom,23,3,0,0,Local transmission,0
03-01-2020,Switzerland,18,8,0,0,Imported cases only,0
03-01-2020,Norway,15,9,0,0,Local transmission,0
03-01-2020,Sweden,13,1,0,0,Imported cases only,0
03-01-2020,Austria,10,5,0,0,Imported cases only,0
03-01-2020,Croatia,7,2,0,0,Local transmission,0
03-01-2020,Israel,7,2,0,0,Imported cases only,0
03-01-2020,Netherlands,7,5,0,0,Local transmission,0
03-01-2020,Azerbaijan,3,3,0,0,Imported cases only,0
03-01-2020,Denmark,3,1,0,0,Imported cases only,0
03-01-2020,Georgia,3,1,0,0,Imported cases only,0
03-01-2020,Greece,3,0,0,0,Imported cases only,2
03-01-2020,Romania,3,0,0,0,Imported cases only,1
03-01-2020,Finland,2,0,0,0,Imported cases only,4
03-01-2020,Russian Federation,2,0,0,0,Imported cases only,30
03-01-2020,Belarus,1,0,0,0,Imported cases only,2
03-01-2020,Belgium,1,0,0,0,Imported cases only,26
03-01-2020,Estonia,1,0,0,0,Imported cases only,3
03-01-2020,Ireland,1,1,0,0,Imported cases only,0
03-01-2020,Lithuania,1,0,0,0,Imported cases only,2
03-01-2020,Monaco,1,1,0,0,Under investigation,0
03-01-2020,North Macedonia,1,0,0,0,Imported cases only,4
03-01-2020,San Marino,1,0,0,0,Local transmission,1
03-01-2020,Thailand,42,0,0,0,Local transmission,1
03-01-2020,India,3,0,0,0,Imported cases only,27
03-01-2020,Nepal,1,0,0,0,Imported cases only,48
03-01-2020,Sri Lanka,1,0,0,0,Imported cases only,34
03-01-2020,Iran (Islamic Republic of),593,205,43,9,Local transmission,0
03-01-2020,Kuwait,45,0,0,0,Imported cases only,1
03-01-2020,Bahrain,40,2,0,0,Imported cases only,0
03-01-2020,United Arab Emirates,19,0,0,0,Local transmission,1
03-01-2020,Iraq,13,5,0,0,Imported cases only,0
03-01-2020,Oman,6,0,0,0,Imported cases only,2
03-01-2020,Pakistan,4,2,0,0,Imported cases only,0
03-01-2020,Lebanon,2,0,0,0,Imported cases only,4
03-01-2020,Afghanistan,1,0,0,0,Imported cases only,6
03-01-2020,Egypt,1,0,0,0,Imported cases only,16
03-01-2020,Qatar,1,1,0,0,Imported cases only,0
03-01-2020,United States of America,62,0,0,0,Local transmission,1
03-01-2020,Canada,19,5,0,0,Local transmission,0
03-01-2020,Brazil,2,1,0,0,Imported cases only,0
03-01-2020,Mexico,2,0,0,0,Imported cases only,1
03-01-2020,Ecuador,1,1,0,0,Imported cases only,0
03-01-2020,Algeria,1,0,0,0,Imported cases only,5
03-01-2020,Nigeria,1,0,0,0,Imported cases only,2
03-01-2020,International conveyance (Diamond Princess),705,0,6,0,Local transmission,4
03-02-2020,Republic of Korea,4212,476,22,4,Local transmission,0
03-02-2020,Japan,254,15,6,1,Local transmission,0
03-02-2020,Singapore,106,4,0,0,Local transmission,0
03-02-2020,Australia,27,2,1,1,Local transmission,0
03-02-2020,Malaysia,24,0,0,0,Local transmission,3
03-02-2020,Viet Nam,16,0,0,0,Local transmission,18
03-02-2020,Philippines,3,0,1,0,Imported cases only,27
03-02-2020,Cambodia,1,0,0,0,Imported cases only,35
03-02-2020,New Zealand,1,0,0,0,Imported cases only,3
03-02-2020,Italy,1689,561,35,6,Local transmission,0
03-02-2020,Germany,129,72,0,0,Local transmission,0
03-02-2020,France,100,0,2,0,Local transmission,1
03-02-2020,Spain,45,0,0,0,Local transmission,1
03-02-2020,United Kingdom,36,13,0,0,Local transmission,0
03-02-2020,Switzerland,24,6,0,0,Local transmission,0
03-02-2020,Norway,19,4,0,0,Local transmission,0
03-02-2020,Sweden,14,1,0,0,Local transmission,0
03-02-2020,Netherlands,13,6,0,0,Local transmission,0
03-02-2020,Austria,10,0,0,0,Imported cases only,1
03-02-2020,Croatia,7,0,0,0,Local transmission,1
03-02-2020,Greece,7,4,0,0,Local transmission,0
03-02-2020,Israel,7,0,0,0,Local transmission,1
03-02-2020,Finland,6,4,0,0,Local transmission,0
03-02-2020,Denmark,4,1,0,0,Local transmission,0
03-02-2020,Azerbaijan,3,0,0,0,Imported cases only,1
03-02-2020,Czechia,3,3,0,0,Imported cases only,0
03-02-2020,Georgia,3,0,0,0,Imported cases only,1
03-02-2020,Romania,3,0,0,0,Imported cases only,2
03-02-2020,Iceland,2,2,0,0,Imported cases only,0
03-02-2020,Russian Federation,2,0,0,0,Imported cases only,31
03-02-2020,Armenia,1,1,0,0,Imported cases only,0
03-02-2020,Belarus,1,0,0,0,Imported cases only,3
03-02-2020,Belgium,1,0,0,0,Imported cases only,27
03-02-2020,Estonia,1,0,0,0,Imported cases only,4
03-02-2020,Ireland,1,0,0,0,Imported cases only,1
03-02-2020,Lithuania,1,0,0,0,Imported cases only,3
03-02-2020,Luxembourg,1,1,0,0,Imported cases only,0
03-02-2020,Monaco,1,0,0,0,Under investigation,1
03-02-2020,North Macedonia,1,0,0,0,Imported cases only,5
03-02-2020,San Marino,1,0,0,0,Local transmission,2
03-02-2020,Thailand,42,0,1,1,Local transmission,2
03-02-2020,India,3,0,0,0,Imported cases only,28
03-02-2020,Indonesia,2,2,0,0,Local transmission,0
03-02-2020,Nepal,1,0,0,0,Imported cases only,38**
03-02-2020,Sri Lanka,1,0,0,0,Imported cases only,35
03-02-2020,Iran (Islamic Republic of),978,385,54,11,Local transmission,0
03-02-2020,Kuwait,56,11,0,0,Imported cases only,0
03-02-2020,Bahrain,47,7,0,0,Imported cases only,0
03-02-2020,United Arab Emirates,21,2,0,0,Local transmission,0
03-02-2020,Iraq,19,6,0,0,Imported cases only,0
03-02-2020,Lebanon,10,1,0,0,Imported cases only,0
03-02-2020,Oman,6,0,0,0,Imported cases only,3
03-02-2020,Pakistan,4,0,0,0,Imported cases only,1
03-02-2020,Qatar,3,2,0,0,Imported cases only,0
03-02-2020,Egypt,2,1,0,0,Imported cases only,0
03-02-2020,Afghanistan,1,0,0,0,Imported cases only,7
03-02-2020,United States,62,2,0,0,Local transmission,0
03-02-2020,Canada,19,0,0,0,Local transmission,1
03-02-2020,Mexico,5,3,0,0,Imported cases only,0
03-02-2020,Brazil,2,0,0,0,Imported cases only,1
03-02-2020,Dominican Republic,1,1,0,0,Imported cases only,0
03-02-2020,Ecuador,1,0,0,0,Imported cases only,1
03-02-2020,Algeria,1,0,0,0,Imported cases only,6
03-02-2020,Nigeria,1,0,0,0,Imported cases only,3
03-02-2020,International conveyance (Diamond Princess),706,1,6,0,Local transmission,0
02-28-2020,China,78961,331,2791,44,Local transmission,0
02-28-2020,Republic of Korea,2337,571,13,0,Local transmission,0
02-28-2020,Japan,210,24,4,1,Local transmission,0
02-28-2020,Singapore,96,3,0,0,Local transmission,0
02-28-2020,Malaysia,24,2,0,0,Local transmission,0
02-28-2020,Australia,23,0,0,0,Local transmission,3
02-28-2020,Viet Nam,16,0,0,0,Local transmission,15
02-28-2020,Philippines,3,0,1,0,Imported cases only,24
02-28-2020,Cambodia,1,0,0,0,Imported cases only,32
02-28-2020,New Zealand,1,1,0,0,Imported cases only,0
02-28-2020,Italy,650,250,17,5,Local transmission,0
02-28-2020,France,38,20,2,0,Local transmission,0
02-28-2020,Germany,26,5,0,0,Local transmission,0
02-28-2020,Spain,25,13,0,0,Local transmission,0
02-28-2020,The United Kingdom,16,3,0,0,Local transmission,0
02-28-2020,Sweden,7,5,0,0,Imported cases only,0
02-28-2020,Switzerland,6,5,0,0,Imported cases only,0
02-28-2020,Austria,4,2,0,0,Imported cases only,0
02-28-2020,Norway,4,3,0,0,Imported cases only,0
02-28-2020,Greece,3,2,0,0,Imported cases only,0
02-28-2020,Israel,3,1,0,0,Imported cases only,0
02-28-2020,Croatia,3,0,0,0,Local transmission,0
02-28-2020,Finland,2,0,0,0,Imported cases only,2
02-28-2020,Russian Federation,2,0,0,0,Imported cases only,28
02-28-2020,Belarus,1,1,0,0,Imported cases only,0
02-28-2020,Lithuania,1,1,0,0,Imported cases only,0
02-28-2020,Netherlands,1,1,0,0,Imported cases only,0
02-28-2020,North Macedonia,1,0,0,0,Imported cases only,2
02-28-2020,Romania,1,0,0,0,Imported cases only,1
02-28-2020,Belgium,1,0,0,0,Imported cases only,24
02-28-2020,Denmark,1,0,0,0,Imported cases only,1
02-28-2020,Estonia,1,0,0,0,Imported cases only,1
02-28-2020,Georgia,1,0,0,0,Imported cases only,1
02-28-2020,Thailand,40,0,0,0,Local transmission,2
02-28-2020,India,3,0,0,0,Imported cases only,25
02-28-2020,Nepal,1,0,0,0,Imported cases only,46
02-28-2020,Sri Lanka,1,0,0,0,Imported cases only,32
02-28-2020,Iran (Islamic Republic of),245,104,26,4,Local transmission,0
02-28-2020,Kuwait,43,0,0,0,Imported cases only,1
02-28-2020,Bahrain,33,0,0,0,Imported cases only,1
02-28-2020,United Arab Emirates,19,6,0,0,Local transmission,0
02-28-2020,Iraq,7,1,0,0,Imported cases only,0
02-28-2020,Oman,6,2,0,0,Imported cases only,0
02-28-2020,Lebanon,2,0,0,0,Imported cases only,2
02-28-2020,Pakistan,2,0,0,0,Imported cases only,2
02-28-2020,Afghanistan,1,0,0,0,Imported cases only,4
02-28-2020,Egypt,1,0,0,0,Imported cases only,14
02-28-2020,United States of America,59,0,0,0,Local transmission,2
02-28-2020,Canada,11,0,0,0,Imported cases only,2
02-28-2020,Brazil,1,0,0,0,Imported cases only,2
02-28-2020,Algeria,1,0,0,0,Imported cases only,3
02-28-2020,Nigeria,1,1,0,0,Imported cases only,0
02-28-2020,International conveyance (Diamond Princess),705,0,4,0,Local transmission,2
02-29-2020,China,79394,435,2838,47,Local transmission,0
02-29-2020,Republic of Korea,3150,813,17,4,Local transmission,0
02-29-2020,Japan,230,20,5,1,Local transmission,0
02-29-2020,Singapore,98,2,0,0,Local transmission,0
02-29-2020,Australia,24,1,0,0,Local transmission,0
02-29-2020,Malaysia,24,0,0,0,Local transmission,1
02-29-2020,Viet Nam,16,0,0,0,Local transmission,16
02-29-2020,Philippines,3,0,1,0,Imported cases only,25
02-29-2020,Cambodia,1,0,0,0,Imported cases only,33
02-29-2020,New Zealand,1,0,0,0,Imported cases only,1
02-29-2020,Italy,888,238,21,4,Local transmission,0
02-29-2020,Germany,57,31,0,0,Local transmission,0
02-29-2020,France,57,19,2,0,Local transmission,0
02-29-2020,Spain,32,7,0,0,Local transmission,0
02-29-2020,The United Kingdom,20,4,0,0,Local transmission,0
02-29-2020,Sweden,12,5,0,0,Imported cases only,0
02-29-2020,Switzerland,10,4,0,0,Imported cases only,0
02-29-2020,Norway,6,2,0,0,Imported cases only,0
02-29-2020,Croatia,5,2,0,0,Local transmission,0
02-29-2020,Israel,5,2,0,0,Imported cases only,0
02-29-2020,Austria,5,1,0,0,Imported cases only,0
02-29-2020,Romania,3,2,0,0,Imported cases only,0
02-29-2020,Greece,3,0,0,0,Imported cases only,1
02-29-2020,Denmark,2,1,0,0,Imported cases only,0
02-29-2020,Georgia,2,1,0,0,Imported cases only,0
02-29-2020,Netherlands,2,1,0,0,Imported cases only,0
02-29-2020,Finland,2,0,0,0,Imported cases only,3
02-29-2020,Russian Federation,2,0,0,0,Imported cases only,29
02-29-2020,San Marino,1,1,0,0,Local transmission,0
02-29-2020,North Macedonia,1,0,0,0,Imported cases only,3
02-29-2020,Estonia,1,0,0,0,Imported cases only,2
02-29-2020,Lithuania,1,0,0,0,Imported cases only,1
02-29-2020,Belarus,1,0,0,0,Imported cases only,1
02-29-2020,Belgium,1,0,0,0,Imported cases only,25
02-29-2020,Thailand,42,2,0,0,Local transmission,0
02-29-2020,India,3,0,0,0,Imported cases only,26
02-29-2020,Nepal,1,0,0,0,Imported cases only,47
02-29-2020,Sri Lanka,1,0,0,0,Imported cases only,33
02-29-2020,Iran (Islamic Republic of),388,143,34,8,Local transmission,0
02-29-2020,Kuwait,45,2,0,0,Imported cases only,0
02-29-2020,Bahrain,38,5,0,0,Imported cases only,0
02-29-2020,United Arab Emirates,19,0,0,0,Local transmission,1
02-29-2020,Iraq,8,1,0,0,Imported cases only,0
02-29-2020,Oman,6,0,0,0,Imported cases only,1
02-29-2020,Lebanon,2,0,0,0,Imported cases only,3
02-29-2020,Pakistan,2,0,0,0,Imported cases only,3
02-29-2020,Afghanistan,1,0,0,0,Imported cases only,5
02-29-2020,Egypt,1,0,0,0,Imported cases only,15
02-29-2020,United States of America,62,3,0,0,Local transmission,0
02-29-2020,Canada,14,3,0,0,Imported cases only,0
02-29-2020,Mexico,2,2,0,0,Imported cases only,0
02-29-2020,Brazil,1,0,0,0,Imported cases only,3
02-29-2020,Algeria,1,0,0,0,Imported cases only,4
02-29-2020,Nigeria,1,0,0,0,Imported cases only,1
02-29-2020,International conveyance (Diamond Princess),705,0,6,2,Local transmission,3
02-25-2020,China,77780,518,2666,71,,
02-25-2020,Republic of Korea,977,214,10,3,,
02-25-2020,Japan,157,13,1,0,,
02-25-2020,Singapore,90,1,0,0,,
02-25-2020,Australia,22,0,0,0,,
02-25-2020,Malaysia,22,0,0,0,,
02-25-2020,Viet Nam,16,0,0,0,,
02-25-2020,Philippines,3,0,1,0,,
02-25-2020,Cambodia,1,0,0,0,,
02-25-2020,Thailand,37,2,0,0,,
02-25-2020,India,3,0,0,0,,
02-25-2020,Nepal,1,0,0,0,,
02-25-2020,Sri Lanka,1,0,0,0,,
02-25-2020,United States of America,53,18,0,0,,
02-25-2020,Canada,10,1,0,0,,
02-25-2020,Italy,229,105,6,4,,
02-25-2020,Germany,16,0,0,0,,
02-25-2020,France,12,0,1,0,,
02-25-2020,The United Kingdom*,13,0,0,0,,
02-25-2020,Israel,2,1,0,0,,
02-25-2020,Russian Federation,2,0,0,0,,
02-25-2020,Spain,2,0,0,0,,
02-25-2020,Belgium,1,0,0,0,,
02-25-2020,Finland,1,0,0,0,,
02-25-2020,Sweden,1,0,0,0,,
02-25-2020,Iran (Islamic Republic of),61,18,12,4,,
02-25-2020,United Arab Emirates,13,0,0,0,,
02-25-2020,Bahrain,8,8,0,0,,
02-25-2020,Kuwait,8,5,0,0,,
02-25-2020,Oman,2,2,0,0,,
02-25-2020,Afghanistan,1,1,0,0,,
02-25-2020,Egypt,1,0,0,0,,
02-25-2020,Iraq,1,1,0,0,,
02-25-2020,Lebanon,1,0,0,0,,
02-25-2020,International conveyance (Diamond Princess),691,0,3,0,,
02-26-2020,China,78191,412,2718,52,,
02-26-2020,Republic of Korea,1261,284,12,2,,
02-26-2020,Japan,164,7,1,0,,
02-26-2020,Singapore,91,1,0,0,,
02-26-2020,Australia,23,1,0,0,,
02-26-2020,Malaysia,22,0,0,0,,
02-26-2020,Viet Nam,16,0,0,0,,
02-26-2020,Philippines,3,0,1,0,,
02-26-2020,Cambodia,1,0,0,0,,
02-26-2020,Thailand,40,3,0,0,,
02-26-2020,India,3,0,0,0,,
02-26-2020,Nepal,1,0,0,0,,
02-26-2020,Sri Lanka,1,0,0,0,,
02-26-2020,United States of America,53,0,0,0,,
02-26-2020,Canada,10,0,0,0,,
02-26-2020,Italy,322,93,11,5,,
02-26-2020,Germany,18,2,0,0,,
02-26-2020,The United Kingdom,13,0,0,0,,
02-26-2020,France,12,0,1,0,,
02-26-2020,Austria,2,2,0,0,,
02-26-2020,Croatia,2,2,0,0,,
02-26-2020,Israel,2,0,0,0,,
02-26-2020,Russian Federation,2,0,0,0,,
02-26-2020,Spain,2,0,0,0,,
02-26-2020,Belgium,1,0,0,0,,
02-26-2020,Finland,1,0,0,0,,
02-26-2020,Sweden,1,0,0,0,,
02-26-2020,Switzerland,1,1,0,0,,
02-26-2020,Iran (Islamic Republic of),95,34,15,3,,
02-26-2020,Bahrain,26,18,0,0,,
02-26-2020,United Arab Emirates,13,0,0,0,,
02-26-2020,Kuwait,12,4,0,0,,
02-26-2020,Iraq,5,4,0,0,,
02-26-2020,Oman,4,2,0,0,,
02-26-2020,Afghanistan,1,0,0,0,,
02-26-2020,Egypt,1,0,0,0,,
02-26-2020,Lebanon,1,0,0,0,,
02-26-2020,Algeria,1,1,0,0,,
02-26-2020,International conveyance (Diamond Princess),691,0,3,0,,
02-27-2020,China,78630,439,2747,29,,
02-27-2020,Republic of Korea,1766,505,13,1,,
02-27-2020,Japan,186,22,3,2,,
02-27-2020,Singapore,93,2,0,0,,
02-27-2020,Australia,23,0,0,0,,
02-27-2020,Malaysia,22,0,0,0,,
02-27-2020,Viet Nam,16,0,0,0,,
02-27-2020,Philippines,3,0,1,0,,
02-27-2020,Cambodia,1,0,0,0,,
02-27-2020,Thailand,40,0,0,0,,
02-27-2020,India,3,0,0,0,,
02-27-2020,Nepal,1,0,0,0,,
02-27-2020,Sri Lanka,1,0,0,0,,
02-27-2020,United States of America,59,6,0,0,,
02-27-2020,Canada,11,1,0,0,,
02-27-2020,Brazil,1,1,0,0,,
02-27-2020,Italy,400,78,12,1,,
02-27-2020,Germany,21,3,0,0,,
02-27-2020,France,18,6,2,1,,
02-27-2020,The United Kingdom,13,0,0,0,,
02-27-2020,Spain,12,10,0,0,,
02-27-2020,Croatia,3,1,0,0,,
02-27-2020,Austria,2,0,0,0,,
02-27-2020,Finland,2,1,0,0,,
02-27-2020,Israel,2,0,0,0,,
02-27-2020,Russian Federation,2,0,0,0,,
02-27-2020,Sweden,2,1,0,0,,
02-27-2020,Belgium,1,0,0,0,,
02-27-2020,Denmark,1,1,0,0,,
02-27-2020,Estonia,1,1,0,0,,
02-27-2020,Georgia,1,1,0,0,,
02-27-2020,Greece,1,1,0,0,,
02-27-2020,North Macedonia,1,1,0,0,,
02-27-2020,Norway,1,1,0,0,,
02-27-2020,Romania,1,1,0,0,,
02-27-2020,Switzerland,1,0,0,0,,
02-27-2020,Iran (Islamic Republic of),141,46,22,7,,
02-27-2020,Kuwait,43,31,0,0,,
02-27-2020,Bahrain,33,7,0,0,,
02-27-2020,United Arab Emirates,13,0,0,0,,
02-27-2020,Iraq,6,1,0,0,,
02-27-2020,Oman,4,0,0,0,,
02-27-2020,Lebanon,2,1,0,0,,
02-27-2020,Pakistan,2,2,0,0,,
02-27-2020,Afghanistan,1,0,0,0,,
02-27-2020,Egypt,1,0,0,0,,
